import time: self [us] | cumulative | imported package
import time:      1215 |       1966 |             queue
import time:      1070 |       3036 |           concurrent.futures.thread
import time:       775 |        775 |           asgiref.current_thread_executor
import time:       917 |        917 |           asgiref.local
import time:      1966 |      93657 |         asgiref.sync
import time:       773 |      94430 |       django.utils.deprecation
import time:      1470 |     113262 |     django.apps.config
import time:      1055 |       1055 |     django.apps.registry
import time:      1034 |     115351 |   django.apps
import time:       933 |        933 |         glob
import time:      1013 |       1945 |       pathlib._abc
import time:       583 |        583 |         pwd
import time:       472 |        472 |         grp
import time:      1553 |       2607 |       pathlib._local
import time:       702 |       5253 |     pathlib
import time:      1028 |       1028 |     django.conf.global_settings
import time:      1077 |       7357 |   django.conf
import time:      1372 |       1372 |       django.core.checks.messages
import time:       438 |        438 |         django.utils.inspect
import time:       705 |       1142 |       django.core.checks.registry
import time:       688 |        688 |       django.core.checks.async_checks
import time:       904 |        904 |               django.dispatch.dispatcher
import time:       553 |       1456 |             django.dispatch
import time:       571 |       2026 |           django.core.signals
import time:       640 |        640 |             django.core.cache.backends
import time:       873 |       1512 |           django.core.cache.backends.base
import time:       966 |        966 |           django.utils.connection
import time:      1011 |       5513 |         django.core.cache
import time:      1172 |       1172 |             _compat_pickle
import time:       223 |        223 |             _pickle
import time:      2163 |       3556 |           pickle
import time:       689 |        689 |               django.core.files.utils
import time:       651 |       1339 |             django.core.files.base
import time:       571 |       1910 |           django.core.files
import time:      2024 |       2024 |               _ctypes
import time:      1463 |       1463 |               ctypes._endian
import time:      2224 |       5710 |             ctypes
import time:      1637 |       1637 |             ctypes.wintypes
import time:      1126 |       8471 |           django.core.files.locks
import time:       656 |        656 |           django.core.files.move
import time:      2482 |       2482 |               _hashlib
import time:        82 |         82 |               _blake2
import time:      1034 |       3597 |             hashlib
import time:      1117 |       1117 |             hmac
import time:       781 |        781 |             secrets
import time:      1026 |       1026 |                   numbers
import time:      1205 |       2231 |                 _decimal
import time:       596 |       2826 |               decimal
import time:       728 |        728 |                 urllib
import time:      1598 |       1598 |                 ipaddress
import time:      1401 |       3726 |               urllib.parse
import time:       692 |       7244 |             django.utils.encoding
import time:      1032 |      13768 |           django.utils.crypto
import time:       944 |      29304 |         django.core.cache.backends.filebased
import time:       755 |      35571 |       django.core.checks.caches
import time:       680 |        680 |         django.core.checks.compatibility
import time:       687 |       1367 |       django.core.checks.compatibility.django_4_0
import time:       993 |        993 |           django.db.utils
import time:       589 |       1582 |         django.db
import time:       562 |       2143 |       django.core.checks.database
import time:       917 |        917 |       django.core.checks.files
import time:      1036 |       1036 |       django.core.checks.model_checks
import time:       753 |        753 |         django.core.checks.security
import time:      1454 |       2207 |       django.core.checks.security.base
import time:       678 |        678 |       django.core.checks.security.csrf
import time:       569 |        569 |       django.core.checks.security.sessions
import time:      1557 |       1557 |                   django.template.context
import time:       648 |        648 |                     unicodedata
import time:      1888 |       1888 |                       calendar
import time:      1556 |       1556 |                         email
import time:       751 |        751 |                         email._parseaddr
import time:      1292 |       3598 |                       email.utils
import time:       328 |        328 |                             termios
import time:       233 |        233 |                             pywatchman
import time:      1525 |       2085 |                           django.utils.autoreload
import time:       915 |       2999 |                         django.utils.translation
import time:       835 |       3834 |                       django.utils.dates
import time:      1510 |       1510 |                             sysconfig
