import time: self [us] | cumulative | imported package
import time:      1038 |       2697 |     rest_framework.relations
import time:      1272 |      14691 |   rest_framework.serializers
import time:      1482 |       1482 |   rest_framework.request
import time:      1188 |       1188 |   rest_framework.utils.encoders
import time:       731 |        731 |   rest_framework.utils.breadcrumbs
import time:      1610 |      24181 | rest_framework.renderers
import time:      1025 |       1025 | django.contrib.auth.backends
import time:       939 |        939 | corsheaders.signals
import time:       653 |        653 |   django.contrib.sessions.backends
import time:      1215 |       1867 | django.contrib.sessions.backends.base
import time:      1199 |       1199 | django.contrib.sessions.exceptions
import time:       984 |        984 | django.contrib.contenttypes.views
import time:      1187 |       1187 |     rest_framework.response
import time:       651 |        651 |             django.contrib.admindocs
import time:       813 |        813 |                 django.shortcuts
import time:       599 |       1412 |               django.contrib.auth.decorators
import time:       554 |       1965 |             django.contrib.admin.views.decorators
import time:       318 |        318 |                 docutils
import time:        55 |        372 |               docutils.core
import time:       847 |       1219 |             django.contrib.admindocs.utils
import time:      1376 |       5209 |           django.contrib.admindocs.views
import time:      1346 |       6555 |         rest_framework.schemas.generators
import time:      1211 |       1211 |         rest_framework.schemas.inspectors
import time:      1086 |       1086 |           rest_framework.mixins
import time:      1090 |       2176 |         rest_framework.schemas.utils
import time:      1147 |      11088 |       rest_framework.schemas.coreapi
import time:      1311 |       1311 |       rest_framework.schemas.openapi
import time:      3454 |      15852 |     rest_framework.schemas
import time:       493 |        493 |     rest_framework.utils.mediatypes
import time:      3703 |      21234 |   rest_framework.views
import time:      1104 |       1104 |   rest_framework.schemas.views
import time:       640 |        640 |   rest_framework.urlpatterns
import time:      1477 |      24454 | rest_framework.routers
import time:      1687 |       1687 |     rest_framework.generics
import time:       783 |        783 |     rest_framework.decorators
import time:      1151 |       3620 |   rest_framework.viewsets
import time:      1370 |       1370 |   core.serializers
import time:       988 |       5977 | core.views
import time:       468 |        468 |   django.views.defaults
import time:       772 |       1240 | django.conf.urls
import time:       657 |        657 |     django.db.migrations.graph
import time:       496 |        496 |     django.db.migrations.recorder
import time:       679 |       1830 |   django.db.migrations.loader
import time:       890 |       2719 | django.db.migrations.executor
import time:      1357 |       1357 |   stringprep
import time:      1580 |       2937 | encodings.idna
